date_time,sensor_id,group,test,predict,lower,upper,std_test,std_predict,std_lower,std_upper
2019-08-27 17:00:00,23,2,1278,1231,512,898,2.1782201547727937,2.0636376328835726,0.284818107698574,1.2388773497493628
2019-08-27 18:00:00,23,2,692,704,133,519,0.7287858724234609,0.7605290160465105,-0.6520145653091878,0.302036818698428
2019-08-27 19:00:00,23,2,381,327,12,398,-0.040453140905280606,-0.17331440517427488,-0.9510771574642066,0.00302191449873912
2019-08-27 20:00:00,23,2,237,207,0,303,-0.3966281181378812,-0.4699432838899049,-0.9778858934827502,-0.2315195118566801
2019-08-27 21:00:00,23,2,245,111,0,285,-0.3768406194027367,-0.7068147342465354,-0.9778858934827502,-0.27661784830134856
2019-08-27 22:00:00,23,2,118,92,0,245,-0.6909671618231553,-0.7550837148843933,-0.9778858934827502,-0.3767514981883226
2019-08-27 23:00:00,23,2,77,51,0,208,-0.7923780928407708,-0.8551634746889528,-0.9778858934827502,-0.4661342728138985
2019-08-28 00:00:00,23,2,28,16,0,172,-0.9135765225935306,-0.9412847413677711,-0.9778858934827502,-0.5573258628029356
2019-08-28 01:00:00,23,2,10,0,0,196,-0.9580983947476056,-0.9778858934827502,-0.9778858934827502,-0.4966418033655077
2019-08-28 02:00:00,23,2,5,4,0,209,-0.9704655814570708,-0.9729326312261052,-0.9778858934827502,-0.4653872680018919
2019-08-28 03:00:00,23,2,2,15,0,199,-0.9778858934827502,-0.944442514361054,-0.9778858934827502,-0.4890394024267543
2019-08-28 04:00:00,23,2,6,6,0,234,-0.967992144115178,-0.9672457240615776,-0.9778858934827502,-0.4027197415708183
2019-08-28 05:00:00,23,2,57,42,58,444,-0.8418468396786319,-0.8778980864741648,-0.8381481023036437,0.11780560899450045
2019-08-28 06:00:00,23,2,241,253,561,947,-0.3867343687703089,-0.3566574697038514,0.4048591437726367,1.3613437813217446
2019-08-28 07:00:00,23,2,745,754,1362,1748,0.8598780515437929,0.8840644829260986,2.3859978808869204,3.342472944953584
2019-08-28 08:00:00,23,2,1504,1554,734,1121,2.737216994040625,2.8631225758704875,0.833723580562902,1.79018072030026
2019-08-28 09:00:00,23,2,960,927,380,767,1.391667080050801,1.3121550773461144,-0.04148358020464826,0.914887808564096
2019-08-28 10:00:00,23,2,597,575,429,815,0.4938093249436202,0.4396786061320799,0.07829584112045973,1.0350162018281477
2019-08-28 11:00:00,23,2,595,623,851,1238,0.4888624502598342,0.5597497157589479,1.1230588488887856,2.080179450844252
2019-08-28 12:00:00,23,2,827,1045,842,1229,1.062699913579024,1.6021294390247551,1.1000260005035691,2.057102033407185
2019-08-28 13:00:00,23,2,654,1035,403,790,0.6347952534315247,1.577561635863986,0.014745291349639478,0.9717892467340808
